CHR.PHYS	RecombRate	Yield
1	0	-0.8666
1	0	1.741
1	0	-4.033
1	0	0.1109
1	0	-0.3944
1	0	0.2527
1	0	1.787
1	0	1.595
1	0	0.3352
1	0	0.3399
1	0	-3.147
1	0	-0.3338
1	0	-1.452
1	0	0.8524
1	0	-5.295
1	0	-2.825
1	0	0.5399
1	0	-1.716
1	0	0.1846
1	0	-0.6298
1	0	-0.4971
1	0	-0.8101
1	0	-0.5852
1	0	-0.3868
1	0	-0.282
1	0	0.7225
1	0	1.091
1	0	0.3445
1	0	-4.072
1	0	-2.68
1	0	-6.395
1	0	2.384
1	0	-1.238
1	0	0.836
1	0	0.1615
1	0	0.3572
1	0	0.8462
1	0	0.003608
1	0	7.453
1	0	-1.81
1	0	-4.235
1	0	-0.2535
1	0	0.0
1	0	-3.63
1	0	-2.524
1	0	-0.008964
1	0	-1.585
1	0	-0.4839
1	0	0.7165
1	0	1.352
1	0	0.4897
1	0	-4.067
1	0	-7.952
1	0	9.258
1	0	-0.08994
1	0	0.7603
1	0	-3.991
1	0	-5.407
1	0	-2.964
1	0	-2.111
1	0	-2.712
1	0	-2.054
1	0	10.2
1	0	1.186
1	0	-2.249
1	0	-1.885
1	0	-2.224
1	0	7.755
1	0	1.207
1	0	-0.4524
1	0	-1.621
1	0	9.504
1	0	-3.505
1	0	-3.377
1	0	0.8472
1	0	-0.5623
1	0	-0.6347
1	0	-2.783
1	0	-1.097
1	0	-0.375
1	0	-3.057
1	0	-0.264
1	0	1.256
1	0	-0.5397
1	0	-0.1186
1	0	22.71
1	0	0.951
1	0	2.831
1	0	2.125
1	0	0.9588
1	0	-3.71
1	0	1.784
1	0	-0.5519
1	0	-0.2183
1	0	-0.3617
1	0	-0.7749
1	0	-3.145
1	0	1.004
1	0	0.006957
1	0	-0.5775
1	0	-1.204
1	0	-9.198
1	0	-2.92
1	0	3.764
1	0	-1.32
1	0	0.8122
1	0	-0.4165
1	0	0.5948
1	0	2.449
1	0	2.12
1	0	0.3478
1	0	2.541
1	0	3.824
1	0	-0.3316
1	0	-1.626
1	0	-0.4314
1	0	3.015
1	0	3.202
1	0	1.297
1	0	1.919
1	0	-1.867
1	0	0.6603
1	0	-0.978
1	0	-0.9497
1	0	-1.114
1	0	-0.0413
1	0	0.9485
1	0	-4.605
1	0	0.8664
1	0	0.4639
1	0	-0.7175
1	0	-0.7808
1	0	0.5054
1	0	-1.756
1	0	4.623
1	0	-0.3719
1	0	-0.2834
1	0	-0.6133
1	0	0.1217
1	0	-5.869
1	0	-1.694
1	0	-8.227
1	0	-12.08
1	0	0.4826
1	0	1.104
1	0	-6.142
1	0	-4.75
1	0	-0.8613
1	0	-0.5338
1	0	-2.721
1	0	-0.7437
1	0	0.08961
1	0	1.409
1	0	0.7248
1	0	1.081
2	0	-2.985
2	0	0.1025
2	0	-1.41
2	0	-1.506
2	0	-0.7785
2	0	2.485
2	0	-1.717
2	0	-3.022
2	0	-3.913
2	0	1.258
2	0	-0.4483
2	0	-0.7318
2	0	6.057
2	0	-3.018
2	0	-0.112
2	0	-1.203
2	0	1.43
2	0	0.2819
2	0	-0.735
2	0	-4.079
2	0	-1.511
2	0	-0.137
2	0	-0.7223
2	0	-0.1568
2	0	0.1454
2	0	-1.329
2	0	-1.256
2	0	-4.706
2	0	-0.5366
2	0	1.286
2	0	-1.65
2	0	14.12
2	0	-1.374
2	0	-3.239
2	0	5.435
2	0	2.028
2	0	2.64
2	0	0.103
2	0	-1.393
2	0	2.997
2	0	-0.1772
2	0	-0.6404
2	0	-1.939
2	0	1.629
2	0	3.347
2	0	-1.402
2	0	0.1182
2	0	-0.3193
2	0	-0.3107
2	0	-0.9395
2	0	-1.564
2	0	2.689
2	0	-1.833
2	0	0.527
2	0	0.1757
2	0	3.189
2	0	-2.545
2	0	-0.9967
2	0	-0.3621
2	0	4.252
2	0	0.411
2	0	0.4423
2	0	0.4096
2	0	-1.482
2	0	4.441
2	0	1.561
2	0	2.941
2	0	-0.3965
2	0	-1.083
2	0	-2.186
2	0	1.983
2	0	-4.886
2	0	1.194
2	0	1.975
2	0	-1.808
2	0	-0.1379
2	0	1.368
2	0	1.843
2	0	-15.74
2	0	2.079
2	0	1.668
2	0	-0.6545
2	0	-0.6408
2	0	4.222
2	0	1.623
2	0	-1.021
2	0	-0.6984
2	0	176.0
2	0	1.671
2	0	-1.7
2	0	4.466
2	0	-1.126
2	0	1.086
2	0	2.735
2	0	0.4479
2	0	1.68
2	0	-2.136
2	0	-0.3271
2	0	0.01255
2	0	0.1101
2	0	1.111
2	0	1.988
2	0	0.2799
2	0	-0.6855
2	0	1.78
2	0	-1.868
2	0	-1.611
2	0	-1.767
3	0	-6.0
3	0	0.8697
3	0	11.97
3	0	-1.147
3	0	-1.875
3	0	-1.272
3	0	1.305
3	0	-2.131
3	0	1.762
3	0	-3.347
3	0	18.25
3	0	6.175
3	0	3.65
3	0	0.1382
3	0	-0.1773
3	0	-0.2037
3	0	-0.2527
3	0	5.301
3	0	-3.686
3	0	-1.585
3	0	-0.6838
3	0	10.74
3	0	-3.193
3	0	-0.3061
3	0	-94.99
3	0	-3.812
3	0	-0.6923
3	0	-2.155
3	0	-0.6866
3	0	-0.8306
3	0	0.9486
3	0	12.51
3	0	-1.889
3	0	-3.746
3	0	4.803
3	0	-3.842
3	0	-0.3994
3	0	0.3082
3	0	1.604
3	0	0.2259
3	0	-2.319
3	0	-1.23
3	0	0.007644
3	0	2.395
3	0	1.949
3	0	-0.3672
3	0	-12.42
3	0	-1.793
3	0	-1.08
3	0	-7.337
3	0	0.1635
3	0	-0.3747
3	0	3.383
3	0	-0.5622
3	0	-4.702
3	0	-0.1766
3	0	-2.238
3	0	13.55
3	0	3.694
3	0	-3.476
3	0	0.6454
3	0	-0.5341
3	0	-1.355
3	0	-0.3801
3	0	0.5691
3	0	-2.523
3	0	0.5358
3	0	-2.012
3	0	-0.9703
3	0	-1.078
3	0	-0.6591
3	0	-1.277
3	0	-1.457
3	0	6.223
3	0	-0.7486
3	0	1.716
3	0	2.117
3	0	-2.257
3	0	3.203
3	0	-2.347
3	0	-0.3777
3	0	3.601
3	0	-0.6043
3	0	-0.5116
3	0	0.2505
3	0	-0.3319
3	0	-3.163
3	0	2.997
3	0	-4.763
3	0	1.954
3	0	0.6751
3	0	11.03
3	0	1.231
3	0	-7.867
3	0	0.2836
3	0	1.805
3	0	-1.388
3	0	-0.1249
3	0	-0.6545
3	0	2.898
3	0	0.2184
3	0	-5.434
3	0	-3.5
3	0	-1.132
3	0	-3.573
3	0	-1.701
3	0	6.853
3	0	-7.279
3	0	6.611
3	0	0.5361
3	0	-2.551
3	0	2.453
3	0	1.823
3	0	-2.263
3	0	-3.003
3	0	-6.318
3	0	1.849
3	0	-10.89
3	0	-0.8377
3	0	0.1481
3	0	1.403
4	0	-2.05
4	0	5.887
4	0	0.6932
4	0	-12.41
4	0	0.6118
4	0	-0.1001
4	0	1.64
4	0	0.1962
4	0	3.041
4	0	-0.8817
4	0	0.4205
4	0	1.976
4	0	-0.5487
4	0	2.61
4	0	2.977
4	0	-1.477
4	0	-2.75
4	0	5.784
4	0	0.03224
4	0	-0.02777
4	0	2.528
4	0	0.1871
4	0	-0.7414
4	0	3.759
4	0	-0.1978
4	0	2.302
4	0	7.99
4	0	2.102
4	0	-1.562
4	0	-0.7051
4	0	2.455
4	0	-0.3788
4	0	-1.316
4	0	1.203
4	0	0.0
4	0	0.1281
