Position	CHR.PHYS	RecombRate	Yield
22	1	8.4454266225e-05	0.6065
155	1	0.0024360482912100007	-2.448
434	1	0.006692579052673	0.8742
471	1	0.0003419555750750012	-1.21
910	1	0.007569135237550007	0.659
1182	1	0.0021567791727800066	0.8645
1550	1	0.004102744144194006	-1.224
1627	1	0.0010782424422500006	1.809
1673	1	0.00025817192197000183	-1.822
1823	1	0.0004389658552000006	-0.6669
1829	1	8.735806000005619e-07	-0.6926
2620	1	0.0014783889214100045	-2.249
2670	1	0.0004124511075400024	-2.069
3002	1	0.016758314866580016	-0.4582
3095	1	4.002079270000458e-05	1.185
3395	1	0.0021954812205109905	-6.817
3909	1	0.0028110854295499976	-1.951
4118	1	0.000802297139399992	5.003
4765	1	0.004822652786646994	0.5365
4909	1	0.01075820609830002	-0.7476
4969	1	0.00029389560629999867	1.215
5279	1	0.0008870661418349801	-0.4913
5548	1	0.0006191283429239774	-2.12
5580	1	0.00020650774416100526	2.373
5713	1	0.00036482512608099205	-1.677
5802	1	0.00030383467570002654	2.17
6079	1	0.0007793083810330032	1.494
6593	1	0.03444849694041499	45.39
6848	1	0.003043830373719983	-0.2173
6983	1	0.00010113418070004099	-42.13
7034	1	0.00012520700819999842	-6.826
7074	1	2.4110078299999227e-05	-1.131
7171	1	0.0005327463161800272	-0.7054
7340	1	0.0034194887458839918	1.122
7892	1	0.0024520009515029972	-4.99
7940	1	0.00016019493750001057	5.326
8026	1	0.0007248818919119993	2.033
8074	1	0.015218846379510986	-12.21
8763	1	0.001531198638843101	2.605
8834	1	0.0006814301045610094	-3.704
9115	1	0.00018940865763397707	-4.404
9377	1	0.00015082955352099803	0.1787
9544	1	0.015924096277311034	0.4493
9852	1	0.0013479143329749865	-1.968
9877	1	4.991888819999568e-05	-0.4388
9967	1	0.00016145407912199206	0.09484
10038	1	3.163516483001283e-05	1.427
10562	1	0.0008328557011629545	0.06955
10568	1	4.76837165003241e-07	-1.015
11650	1	0.019121467762999972	4.02
12072	1	0.001587793225917955	0.8463
12111	1	6.496906264999436e-05	2.007
12184	1	0.00010444224231001553	1.76
12196	1	4.5418739645003425e-05	-6.067
12368	1	0.00031423568906394084	-2.642
12660	1	0.0005846470635800238	4.558
13071	1	0.006197050401651916	-2.187
13933	1	0.01172943375416588	-2.94
13973	1	4.038214734020107e-06	-0.04508
14098	1	5.4851174736025854e-05	0.726
14309	1	0.00509971361913894	0.123
14614	1	0.01981708380378594	-2.308
14745	1	1.3798475234944041e-05	-0.1592
14847	1	0.00039038062676999274	-10.5
15036	1	0.0010190010065219413	9.301
15047	1	8.471309999999455e-05	-0.5113
15423	1	0.01719333195601505	-0.8821
15659	1	0.0006342679158419795	-0.4187
15769	1	0.0001960545779909617	-1.015
16526	1	0.023414953760291873	12.66
16630	1	0.000373184685158956	-0.2531
17015	1	0.00039321184089780026	-7.64
17161	1	0.00010621547669992237	-1.552
17303	1	4.816055321393842e-05	-0.3919
17586	1	0.041410118412691876	5.689
17974	1	0.00039541721093183657	3.063
18345	1	0.0006290674198598523	-0.1883
18569	1	0.0003987550631210368	0.6727
18639	1	0.0008550584342950085	-1.138
