CHR.PHYS	RecombRate	Yield
1	5.334634e-05	-0.005726
1	0.0037307246	-0.6993
1	0.0021455225	0.5385
1	0.0036338805	-8.225
1	0.0014292197	-2.505
1	0.0054578343	-0.02785
1	1.3615936e-06	-2.128
1	0.0015388858	0.6295
1	0.00011980161	0.1465
1	0.0011449642	-0.8666
1	0.0011867993	-0.8378
1	0.00077807344	-2.44
1	0.0014807153	0.6327
1	0.0006494988	1.741
1	0.0013943054	0.4417
1	4.235655e-06	-0.8895
1	6.28829e-06	-3.353
1	0.00045048073	1.515
1	4.544668e-05	0.9046
1	6.8970025e-05	0.7477
1	0.00029488467	-0.4496
1	0.0008364152	-4.033
1	0.015843552	11.66
1	0.0013545714	0.1772
1	0.0008593984	-0.08494
1	3.8035214e-06	3.231
1	0.0017713159	-7.186
1	0.001284752	2.951
1	4.6528876e-06	-1.897
1	8.8863075e-05	-1.44
1	2.2374094e-05	-2.756
1	1.6190112e-05	4.483
1	0.001136411	-4.209
1	0.00020551682	5.802
1	0.00058137625	0.1109
1	7.0929527e-06	0.2174
1	0.00069457665	2.251
1	0.0031332336	0.3115
1	7.838011e-06	-0.3865
1	5.7145953e-06	-4.069
1	1.3817102e-05	-0.9618
1	0.00093992054	3.716
1	5.6691468e-05	-2.493
1	0.010220267	2.017
1	0.0005552247	1.105
1	0.00028207153	0.04631
1	0.00077781826	0.3674
1	4.425645e-06	-0.2679
1	0.00015763193	-3.449
1	3.349036e-05	-10.64
1	5.8740377e-05	0.2553
1	0.00029163063	-1.267
1	9.4622374e-07	-0.75
1	0.0018272698	-0.1183
1	0.032518014	1.432
1	2.5451183e-05	1.444
1	5.5119395e-05	5.017
1	9.337813e-05	-10.6
1	0.0016817003	-0.3944
1	1.206994e-06	0.2527
1	9.760261e-06	1.498
1	0.00011535734	-0.1754
1	0.002944678	4.083
1	0.00028004497	-1.269
1	0.0004299432	0.8702
1	0.0025131926	0.6439
1	0.0012906641	-0.5847
1	0.0011366829	4.018
1	0.0010281727	7.751
1	0.00018193573	-1.998
1	0.015787013	2.287
1	0.00017143786	-9.788
1	9.849668e-06	-0.4061
1	0.0013474673	-10.77
1	5.8859587e-06	1.952
1	0.0011262447	2.75
1	0.015361279	-1.855
1	0.0022078156	-2.366
1	0.00025628507	-3.512
1	2.9206276e-05	1.787
1	1.206994e-06	1.449
1	1.2814999e-06	1.595
1	0.0005812049	2.561
1	0.018112764	3.778
1	0.0003193468	-0.4769
1	3.6805868e-06	0.9838
1	0.00034162402	1.015
1	4.61936e-07	-2.275
1	2.8163195e-06	-1.854
1	0.00013458729	-3.198
1	5.7414174e-05	4.232
